funding_time,funding_rate
1675411200000,0.0001
1675440000000,0.0001
1675468800010,0.0001
1675497600000,0.0001
1675526400000,0.0001
1675555200016,0.0001
1675584000009,0.0001
1675612800018,0.0001
1675641600001,0.0001
1675670400000,0.0001
1675699200012,0.0001
1675728000004,0.0001
1675756800011,0.00036924
1675785600018,0.00044078
1675814400009,0.00077724
1675843200010,0.00042006
1675872000000,0.00068383
1675900800014,0.00015639
1675929600006,0.0001
1675958400001,0.0001
1675987200012,0.0001
1676016000005,0.0001
1676044800020,0.0001
1676073600007,0.0001
1676102400002,0.0001
1676131200021,0.0001
1676160000004,0.0001
1676188800000,0.0001
1676217600002,0.0001
1676246400006,0.0001
1676275200008,0.0001
1676304000002,0.0001
1676332800013,0.0001
1676361600014,0.0001
1676390400016,0.0001
1676419200011,0.0001
1676448000000,0.0001
1676476800005,0.0001
1676505600019,0.0001
1676534400000,0.0001
1676563200001,0.0001
1676592000003,0.0001
1676620800016,0.0001
1676649600000,0.0001
1676678400011,0.0001
1676707200000,0.00036103
1676736000007,0.00021728
1676764800019,0.00028571
1676793600005,0.00026906
1676822400003,0.00036588
1676851200006,0.0001
1676880000008,0.00012869
1676908800006,0.0001
1676937600001,0.0001
1676966400004,0.0001
1676995200011,0.0001
1677024000009,0.0001
1677052800010,0.0001
1677081600000,0.0001
1677110400006,0.0001
1677139200005,0.0001
1677168000002,0.0001
1677196800015,0.0001
1677225600011,0.0001
1677254400014,0.0001
1677283200015,0.0001
1677312000015,0.0001
1677340800015,0.0001
1677369600007,0.0001
1677398400012,0.0001
1677427200000,0.0001
1677456000011,0.0001
1677484800003,0.0001
1677513600000,0.0001
1677542400011,0.0001
1677571200018,0.0001
1677600000005,0.0001
1677628800016,0.0001
1677657600000,0.0001
1677686400008,0.0001
1677715200009,0.0001
1677744000013,0.0001
1677772800000,0.0001
1677801600000,0.0001
1677830400013,0.0001
1677859200000,0.0001
1677888000001,0.0001
1677916800008,0.0001
1677945600012,0.0001
1677974400000,0.0001
1678003200000,0.0001
1678032000015,0.0001
1678060800007,0.0001
1678089600017,0.0001
1678118400000,0.0001
1678147200009,0.0001
1678176000016,0.0001
1678204800017,0.0001
1678233600000,0.0001
1678262400014,0.0001
1678291200021,0.0001
1678320000010,0.0001
1678348800013,0.0001
1678377600002,0.0001
1678406400000,0.0001
1678435200000,0.0001
1678464000005,0.0001
1678492800011,0.0001
1678521600003,0.0001
1678550400011,0.0001
1678579200001,0.0001
1678608000000,0.0001
1678636800005,3.656e-05
1678665600010,5.733e-05
1678694400018,0.0001
1678723200003,0.0001
1678752000010,0.0001
1678780800009,8.228e-05
1678809600010,0.0001
1678838400011,0.0001
1678867200000,0.0001
1678896000012,0.0001
1678924800004,0.0001
1678953600018,0.0001
1678982400005,0.0001
1679011200017,0.0001
1679040000010,0.0001
1679068800003,0.0001
1679097600012,0.0001
1679126400000,0.0001
1679155200016,0.0001
1679184000013,0.0001
1679212800024,0.0001
1679241600000,0.0001
1679270400005,0.0001
1679299200012,0.0001
1679328000015,0.0001
1679356800006,0.0001
1679385600004,0.0001
1679414400003,0.0001
1679443200000,0.0001
1679472000003,0.0001
1679500800000,0.0001
1679529600016,0.0001
1679558400001,0.0001
1679587200013,0.0001
1679616000013,0.0001
1679644800012,0.0001
1679673600027,0.0001
1679702400015,0.0001
1679731200011,0.0001
1679760000011,9.864e-05
1679788800000,0.0001
1679817600015,0.0001
1679846400000,0.0001
1679875200019,0.0001
1679904000009,7.06e-06
1679932800000,3.159e-05
1679961600007,0.0001
1679990400000,5.721e-05
1680019200013,0.0001
1680048000010,0.0001
1680076800006,0.0001
1680105600014,0.0001
1680134400000,0.0001
1680163200000,-0.0001055
1680192000006,5.59e-05
1680220800003,0.0001
1680249600006,0.0001
1680278400011,0.0001
1680307200000,0.0001
1680336000000,9.027e-05
1680364800018,0.0001
1680393600013,0.0001
1680422400014,0.0001
1680451200001,0.0001
1680480000000,0.0001
1680508800013,0.0001
1680537600011,0.0001
1680566400002,0.0001
1680595200017,0.0001
1680624000008,0.0001
1680652800000,0.0001
1680681600016,0.0001
1680710400004,0.0001
1680739200000,0.0001
1680768000011,0.0001
1680796800000,0.0001
1680825600006,0.0001
1680854400005,0.0001
1680883200000,0.0001
1680912000000,0.0001
1680940800014,0.0001
1680969600018,0.0001
1680998400013,8.368e-05
1681027200024,0.0001
1681056000010,7.72e-06
1681084800000,0.0001
1681113600010,0.0001
1681142400006,0.0001
1681171200008,0.0001
1681200000007,0.0001
1681228800016,0.0001
1681257600006,0.0001
1681286400008,8.12e-05
1681315200014,0.0001
1681344000027,0.0001
1681372800010,0.0001
1681401600000,0.0001
1681430400001,0.0001
1681459200008,0.0001
1681488000007,0.0001
1681516800007,0.0001
1681545600007,0.0001
1681574400011,0.0001
1681603200014,0.0001
1681632000007,0.0001
1681660800002,0.0001
1681689600017,0.0001
1681718400006,0.0001
1681747200000,0.0001
1681776000013,0.0001
1681804800017,0.0001
1681833600000,0.0001
1681862400022,0.0001
1681891200014,0.0001
1681920000000,-0.00020338
1681948800010,0.0001
1681977600012,0.0001
1682006400012,0.0001
1682035200009,1.874e-05
1682064000009,0.0001
1682092800003,5.04e-06
1682121600000,-8.345e-05
1682150400000,-0.00029355
1682179200016,1.679e-05
1682208000009,-9.813e-05
1682236800020,0.0001
1682265600007,5.901e-05
1682294400000,2.878e-05
1682323200008,8.54e-06
1682352000006,0.0001
1682380800014,0.0001
1682409600009,0.0001
1682438400015,0.0001
1682467200015,0.0001
1682496000013,0.0001
1682524800001,0.0001
1682553600014,0.0001
1682582400008,0.0001
1682611200005,0.0001
